prj_title,year,beneficiaries,sector,status,region,implementor,cost
"Establishment of Common Service Facility (CSF) for Adlay Processing in Super Typhoon Yolanda-Affected Communities in Cabucgayan, Biliran",2017,Cabucgayan Farmers Association (CAFA),Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region VIII,PSTC-BILIRAN,"1,730,000.00"
Establishment of Common Service Facility (CSF) for Production of DOST-FNRI Complementary Food,2017,Women for Rural Development- Kalipunan ng Liping Pilipino (WORD-KALIPI),Food Processing,On-going,Region VIII,PSTC-BILIRAN,"944,000.00"
"Establishment of Common Service Facility (CSF) for the Production and Development of Local Food Products in Southern, Leyte",2017,Food Processors/ MSMEs Students and Researchers,Food Processing,On-going,Region VIII,PSTC-SOUTHERN LEYTE,"1,541,000.00"
Establishment of Common Service Facility for Coconut Sugar Processing,2017,Villaconsuelo Tree Planters Assoiation (VTPA),Food Processing,Completed,Region VIII,PSTC-BILIRAN,"2,300,000.00"
Establishment of Community Based Facility for Native Delicacy Production,2017,Imelda Agrarian Reform Cooperative (IMARCO),Food Processing,On-going,Region VIII,PSTC-BILIRAN,"1,113,000.00"
"Establishment of Community-Based Indigenous Craft Production Facility in Libacao, Aklan",2013,Local Government Unit of Libacao,Gifts / Decors / Handicrafts,Completed,Region VI,PSTC-AKLAN,"485,350.00"
Establishment of DOST Food Safety Web Application,2021,DOST CALABARZON,ICT,New,Region IV-A,RO-MIS,"3,830,713.00"
"Establishment of Fish Drying Facility: A Livelihood Support for the Baybay Aquatic Fishermen Organization (BAFO) in Alubijid, Misamis Oriental-D2",2020,Baybay Aquatic Fishermen Organization (BAFO),Agriculture / Marine / Aquaculture / Forestry / Livestock,New,Region X,PSTC-MISAMIS ORIENTAL,"458,500.00"
"Establishment of Food Processing Facility for employment and livelihood opportunities of Hearing Impaired graduates of Bukidnon National High School, Malaybalay City, Bukidnon-D2;",2020,LGU-Malaybalay City,Food Processing,New,Region X,PSTC-BUKIDNON,"412,000.00"
"Establishment of Meat Processing Facility thru S&T Interventions for the Economic Development in Balingoan, Misamis Oriental - D1",2020,Micro Business Entrepreneurs of Balingoan,Food Processing,On-going,Region X,PSTC-MISAMIS ORIENTAL,"493,900.00"
Establishment of Natural Fibers Technology Resource Center,2012,Aklan State University,Gifts / Decors / Handicrafts,Completed,Region VI,PSTC-AKLAN,"630,000.00"
Establishment of Negros Occidental Bamboo Innovation Center,2016,LGU - Province of Negros Occidental,Furniture,Completed,Region VI,PSTC-NEGROS OCCIDENTAL,"1,000,000.00"
Establishment of Packaging Technology Resource Center for Western Visayas,2011,Central Philippine University,Other Regional Industry Priorities,Completed,Region VI,PSTC-ILOILO,"960,000.00"
"Establishment of Pilot Robotics Learning Resource Centers in the Province of Leyte and Development of Robotics Training Modules for Teachers and Students- A DOST 8 Intervention under the DOST's Smarter Philippines Program""",2013,SMITE,ICT,Completed,Region VIII,RO-GIA,"200,000.00"
"Establishment of Production Center for Banana Chips Processing in Brgy. San Pedro, Tunga Leyte",2017,Tunga-on Coconut Farmers Association (TOCFA),Food Processing,On-going,Region VIII,PSTC-LEYTE,"870,000.00"
Establishment of Production Center for Oyster Mushroom,2017,"Sumangga United Farmers Association (SUFA), Aguiting Alliance Livelihood Farmers Association (AALIVEFA)",Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region VIII,PSTC-LEYTE,"951,000.00"
"Establishment of Rubber Processing Facility to Improve Productivity and Alleviate Living Conditions of Local Rubber Growers in Impasug-ong through Various S&T Interventions in Impasug-ong, Bukidnon, D-2",2019,LGU-Impasugong,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-BUKIDNON,"732,700.00"
"Establishment of Science and Technology - Based Farm in Brgy. Paitan, Burauen, Leyte",2017,Paitan Farmers Association (PAIFA),Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region VIII,PSTC-LEYTE,"745,000.00"
Establishment of Science and Technology Digital Libraries in the Province of Capiz,2013,Capiz State University - Central Office,ICT,Completed,Region VI,PSTC-CAPIZ,"1,697,000.00"
"Establishment of Silkworm Rearing Center in Balubal, Cagayan de Oro City: A Support to the silk Industry in Mindanao",2019,Women of Balubal CDORSHP 4 Homeowners Association,Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region X,PSTC-MISAMIS ORIENTAL,"279,950.00"
"Establishment of Squash Canton Noodle Production Facility of Tinaclaan Rural Improvement Club in Clarin, Misamis Occidental -D2",2019,Tinaclaan Rural Improvement Club,Food Processing,On-going,Region X,PSTC-MISAMIS OCCIDENTAL,"389,350.00"
Establishment of Squash Canton Noodles Production Center,2013,KATUPARAN,Food Processing,Completed,Region X,PSTC-MISAMIS OCCIDENTAL,"300,000.00"
Establishment of Squash-based Pancit Canton Production Facility of LGU-Cabanglasan,2018,LGU-Cabanglasan,Other Regional Industry Priorities,On-going,Region X,PSTC-BUKIDNON,"565,000.00"
"Establishment of Taro Noodle Processing Facility to Improve Productivity and Product Quality through Various S&T Intervention in Brgy. Songco – a GIDA area in Lantapan, Bukidnon – D2",2020,LGU Lantapan,Food Processing,New,Region X,PSTC-BUKIDNON,"478,273.00"
"Establishment of Technology Center for Baked Food Products in Tolosa, Leyte",2018,"Imelda Women's Association (IWA), Women's Association of Poblacion (WAP)",Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,108,000.00"
"Establishment of Technology Center for Banana Chips Processing in Barangay Hapunan, Burauen, Leyte",2017,"Non-4Ps Association of Barangay Hapunan, Burauen",Food Processing,On-going,Region VIII,PSTC-LEYTE,"870,000.00"
"Establishment of Technology Center for Banana Chips Processing in San Isidro, Leyte",2017,San Isidro Women's Association,Food Processing,On-going,Region VIII,PSTC-LEYTE,"870,000.00"
"Establishment of Technology Center for Brown and Polished Rice in Brgy. Liwayway, Mac Arthur, Leyte",2017,Mac Arthur United Farmers Association (MACUFA),Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region VIII,PSTC-LEYTE,"1,375,000.00"
"Establishment of Technology Center for Cacao Bean Processing in Matag-ob, Leyte",2017,"Cacao Farmers Association of Matag-ob, Leyte",Food Processing,On-going,Region VIII,PSTC-LEYTE,"800,000.00"
"Establishment of Technology Center for Cocowine Processing in Barugo, Leyte",2017,CUTA Farmers Multi-Purpose Cooperative,Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,611,000.00"
"Establishment of Technology Center for Dehydrated Fish and Spicy Vinegar Processing in Babatngon, Leyte",2017,Babatngon Livelihood Association,Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,695,000.00"
"Establishment of Technology Center for Dehydrated Fish Processing in Abuyog, Leyte",2017,Barangay Bahay Fisherfolks and Farmers Association (BBAFFA),Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,190,000.00"
"Establishment of Technology Center for Dehydrated Jackfruit Processing in Baybay City, Leyte",2017,Baybay Fruit Farmers Association,Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,062,000.00"
Establishment of Technology Center for Egg Laying,2017,"Camansi Farmers Association (CFA), Farmers Association of Barugohay Central, Pagla-um Farmers Association (PFA), San Isidro Farmers Association (SIFA), San Mateo Small Fisherfolks Association, Canfiba Small Farmers Association (CSFA)",Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region VIII,PSTC-LEYTE,"1,644,996.00"
"Establishment of Technology Center for Electronic Tricycle (E-Trike) Assembly in LGU Jaro, Leyte",2017,LGU Jaro,Other Regional Industry Priorities,On-going,Region VIII,PSTC-LEYTE,"2,410,000.00"
"Establishment of Technology Center for Fish Processing in Brgy. Balud, Capoocan, Leyte",2017,Baludian Fisherfolks Association (BFA),Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,140,000.00"
"Establishment of Technology Center for Ginger Candy Processing in Javier, Leyte",2017,Javier Veggie Growers Association (JAVEGA),Food Processing,On-going,Region VIII,PSTC-LEYTE,"2,139,863.00"
"Establishment of Technology Center for Ice Cream Processing in Cabacungan, Dulag, Leyte",2017,Cabacungan National High School,Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,190,000.00"
"Establishment of Technology Center for Meat Processing in Brgy. Astorga, Tunga, Leyte",2017,Astorga Ladies Farmers Association,Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,315,000.00"
"Establishment of Technology Center for Meat Processing in Villaba, Leyte",2017,Cagnocot Farmers Association,Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,215,000.00"
"Establishment of Technology Center for Meat Processing in Villarhermosa, Julita, Leyte",2017,Villahermosa Organic Farmers Association,Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,380,000.00"
"Establishment of Technology Center for Native Delicacies in Carigara, Leyte",2018,Carigara Native Bakers Association,Food Processing,On-going,Region VIII,PSTC-LEYTE,"970,000.00"
"Establishment of Technology Center for Raw and Brown Rice in Brgy. Bonifacio, Mayorga, Leyte",2017,Bonifacio Multi Farmers Association (BMFA),Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region VIII,PSTC-LEYTE,"1,375,000.00"
"Establishment of Technology Center for Raw Brown and White Rice in Brgy. Rizal, La Paz, Leyte",2017,Rizal Farmers Association (RFA),Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region VIII,PSTC-LEYTE,"1,375,000.00"
"Establishment of Technology Center for Raw Brown and White Rice in Brgy. San Pablo, Tabontabon, Leyte",2017,San Pablo Quezon Farmers Association (SAQUEFA),Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region VIII,PSTC-LEYTE,"1,375,000.00"
Establishment of Technology Center for Ready-to-Eat Food Products for Disaster Resiliency,2017,LGU Ormoc,,On-going,Region VIII,PSTC-LEYTE,"1,575,000.00"
"Establishment of Technology Center for Rice Based Product in Tunga, Leyte",2017,San Vicente United Women's Association,Food Processing,On-going,Region VIII,PSTC-BILIRAN,"915,625.00"
"Establishment of Technology Center for Rice-Based (Coconut Rice Cake/Bibingka) Production Sta. Fe, Leyte",2018,Sta. Fe Farmer’s Association,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region VIII,PSTC-LEYTE,"915,625.00"
"Establishment of Technology Center for Rice-Based products in Julita, Leyte",2017,Tindug Mag-uruma Integrated Association (TMIA),Food Processing,On-going,Region VIII,PSTC-LEYTE,"915,625.00"
"Establishment of Technology Center for Soya Milk Processing in Palo, Leyte",2017,Tzu Chi Great Love Village Beneficiaries,Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,390,000.00"
"Establishment of Technology Center for Spicy Vinegar Processing in Abango, Barugo Leyte",2017,Abango Promised Land Farmers Association (APLFA),Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,155,000.00"
"Establishment of Technology Center for Veggie Bread Processing in Calubian, Leyte",2017,Calubian Vegetable Farmers Association,Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,042,200.00"
"Establishment of Technology Center for Veggie Bread Processing in Dagami, Leyte",2017,Dagami Farmers Association / Patoc Integrated Farmers Association,Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,042,200.00"
"Establishment of Technology Center for Veggie Bread Processing in La Paz, Leyte",2017,Lapaz Bakers Associations,Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,042,200.00"
Establishment of Technology Center for Veggie Bread Processing in Mac Arthur Leyte,2017,Mac Arthur Producers Association,Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,042,000.00"
"Establishment of Technology Center for Veggie Bread Processing in Mahaplag, Leyte",2017,Liberasyon Women's Association,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region VIII,PSTC-LEYTE,"1,042,200.00"
"Establishment of Technology Center for Veggie Bread Processing in Ormoc, Leyte",2017,Rotary Community Core of Gawad Kalinga Village,Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,042,200.00"
"Establishment of Technology Center for Veggie Bread Processing in Pastrana, Leyte",2017,Association of Vegetable Farmers in Pastrana Leyte,Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,042,000.00"
"Establishment of Technology-Based Facility (TBF) for Food Processing through ISS in Naval, Biliran",2017,Naval Suman Makers Association (NASUMA) and other Naval Food Processors,Food Processing,Completed,Region VIII,PSTC-BILIRAN,"2,800,000.00"
"Establishment of the Bamboo Furniture and Handicraft Industry in D. Fernan, Bonifacio, Misamis Occidental",2015,"D Fernan Farmers Association, LGU-Bonifacio, Misamis Occidental",Furniture,Completed,Region X,PSTC-MISAMIS OCCIDENTAL,"440,600.00"
"Establishment of Tissue Culture Laboratory in Sugbongcogon, Misamis Oriental",2015,LGU-Sugbongcogon,Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region X,PSTC-MISAMIS ORIENTAL,"1,305,973.00"
"Establishment of Tribal Community-based Taro Processing Plant to Alleviate Living Condition of IP Communities and Settlers through Various S&T Interventions in Songco, Lantapan, Bukidnon D-2.",2018,LGU Lantapan,Food Processing,On-going,Region X,PSTC-BUKIDNON,"348,518.00"
"Establishment of Vegetables Noodles, Root Crops Flour, and Turmeric Powder Processing Facility as Alternative Source of Livelihood for Women of North Poblacion, Medina, Misamis Oriental - D1",2019,NOPSCA,Food Processing,Completed,Region X,PSTC-MISAMIS ORIENTAL,"416,400.00"
"Establishment of Virgin Coconut Oil (VCO) Processing Plant in Damulog, Bukidnon",2017,LGU-Damulog,Health & Wellness Products,Withdrawn,Region X,RO-GIA-CEST,0
"Establishment of Virgin Coconut Oil (VCO) Processing Plant in Damulog, Bukidnon",2017,LGU-Damulog,Other Regional Industry Priorities,Terminated,Region X,PSTC-BUKIDNON,"539,580.00"
"Establishment of Wood Souvenir Items Facility for Skills Enhancement, Product Development and Livelihood to IP Students in Luyungan High School, Brgy. Bangcud, Malaybalay City, Bukidnon,D-2",2020,LGU-Malaybalay City,Gifts / Decors / Handicrafts,New,Region X,PSTC-BUKIDNON,"166,040.00"
Expansion in the Dairy Operations of PLGU Camiguin,2020,PLGU CAMIGUIN- Provincial Vetinerary Office,Food Processing,On-going,Region X,PSTC-CAMIGUIN,"447,210.00"
Field Verification Testing on Carrageenan Plant Growth Promoter for Enhanced Growth and Induced Pest and Disease Resistance In Rice,2017,"MAO - Antipolo, Rizal, MAO - Ibaan, Batangas, MAO - Morong, Rizal, MAO - Sampaloc, Quezon, MAO - San Antonio, Quezon, MAO - San Juan, Batangas, MAO - Sta. Maria, Laguna, MAO - Teresa, Rizal, MAO - Tiaong, Quezon, MAO - Balayan, Batangas, MAO - Candelaria, Quezon, MAO - Lian, Batangas, MAO - Pagbilao, Quezon, MAO - Pila, Laguna, MAO - Tanza, Cavite, MAO - Tayabas, Quezon, MAO - General Trias, Cavite, MAO - Imus, Cavite, MAO - Lucban, Quezon, MAO - Mabitac, Laguna, MAO - Nasugbu, Batangas, MAO - San Mateo, Rizal, MAO - Sariaya, Quezon, MAO - Tanay, Rizal, MAO - Binangonan, Rizal, MAO - Calamba, Laguna, MAO - Lucena, Quezon, MAO - Maragondon, Cavite, MAO - Mauban, Quezon, MAO - Padre Garcia, Batangas, MAO - Pillila, Rizal",Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region IV-A,RO-Project Coordinators,"640,000.00"
Fisheries and Marine Technology Resource Center,2012,Capiz State University - Dayao Campus,Food Processing,Completed,Region VI,PSTC-CAPIZ,"710,800.00"
Food Safety Assessment and Promotion to Food Processors of Ready-to-Eat Products in Capiz,2017,Provincial Government of Capiz,Food Processing,On-going,Region VI,PSTC-CAPIZ,"810,780.00"
"Food Safety Demo Company Program - Candelaria Coconut & Other Manufacturer's Association, Inc. (CACOPMAI)",2016,"Candelaria Coconut (OTOP) & Other Manufacturers' Association, Inc. (CACOPMAI)",Food Processing,On-going,Region IV-A,RO-Project Coordinators,0
Food Safety Demo Company Program - Casile-Guinting Upland Marketing Cooperative,2016,Casile-Guinting Upland Marketing Cooperative,Food Processing,On-going,Region IV-A,RO-Project Coordinators,0
Food Safety Demo Company Program - Gordola Food Enterprise,2016,Gordola Food Enterprise,Food Processing,On-going,Region IV-A,RO-Project Coordinators,0
Food Safety Demo Company Program - Zenaida Corcuera Food Products,2016,Zenaida Corcuera Food Product,Food Processing,On-going,Region IV-A,RO-Project Coordinators,0
"Food Safety Enhancement and Productivity Improvement to HUFIA Dressed Chicken Processing Facility in Mahinog, Camiguin",2021,HUBANGON FISHERFOLKS ASSOCIATION (HUFIA),Agriculture / Marine / Aquaculture / Forestry / Livestock,New,Region X,PSTC-CAMIGUIN,"739,186.00"
"Fruit Value-Adding (FruitPlus) Through Processing with KFPPC in Kinoguitan, Misamis Oriental- D1",2021,Kinoguitan Food Processors Producers Cooperative (KFPPC),Food Processing,On-going,Region X,PSTC-MISAMIS ORIENTAL,"1,623,492.00"
GIVEtoGROW: Gingoog Integrated Vegetable Production and Processing with Group of Farm Workers and IP Families-D1,2021,Local Government Unit of Medina,Agriculture / Marine / Aquaculture / Forestry / Livestock,New,Region X,PSTC-MISAMIS ORIENTAL,0
GIVEtoGROW: Gingoog Integrated Vegetable Production and Processing with Group of Farm Workers and IP Families-D1,2021,LGU Gingoog City/Holy Family Farm,Agriculture / Marine / Aquaculture / Forestry / Livestock,New,Region X,PSTC-MISAMIS ORIENTAL,"1,235,776.00"
"Human Resource Development through the provision of Science and Technology Promotional Device and Electronic Resources for Two Senior High Schools in Salay, Misamis Oriental and Enrichment Program for DOST Scholarship for Grade 12 Graduating Top Students",2018,Local Government Unit of Salay,ICT,On-going,Region X,PSTC-MISAMIS ORIENTAL,"337,800.00"
ICT Start-Ups Entrepreneurship Support (ISES) Program,2013,"Bacolod-Negros Occidental Federation for Information & Communications Technology (BNEFIT), Inc.",ICT,Completed,Region VI,PSTC-NEGROS OCCIDENTAL,0
"ILIGANiCE (Innovation thru Leveraging Industry, Government, Academe Networks and inclusive Community Engagements) Program",2021,MSU-Iligan Institute of Technology,Other Regional Industry Priorities,On-going,Region X,RO-GIA,"2,487,987.00"
"Implementation of Community Empowerment through Science and Technology (CEST)- Health and Nutrition Component in Bonifacio, Misamis Occidental",2017,"LGU-Bonifacio, Misamis Occidental",Other Regional Industry Priorities,Completed,Region X,PSTC-MISAMIS OCCIDENTAL,"132,120.00"
Improvement of Overall Product Quality through the Execution of Packaging and Label Design/Materials for the Soap Products of Produktibong Kababaihan ng Magliman (PKBM),2015,Produktibong Kababaihan ng Magliman(PKBM),Other Regional Industry Priorities,Completed,Region III,PSTC-PAMPANGA,"303,300.00"
"Improvement of Production and Processing Facilities for the Community Based Seaweeds (Eucheuma sp.) Processing Project in Sibunag, Guimaras",2011,Province of Guimaras,Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region VI,PSTC-GUIMARAS,"612,455.00"
"Improving Product Shelf-life of RICCOL’s Bottled Sardines for Empowered Women’s Enterprise in Sinacaban, Misamis Occidental-D2",2021,Rural Improvement Club of Colupan Bajo (RICCOL),Food Processing,On-going,Region X,PSTC-MISAMIS OCCIDENTAL,"270,810.00"
Improving the Mineral Content of Region 10 Corn Varieties through Location-specific Soil Nutrient Management,2021,University of Science and Technology of Southern Philippines - Claveria Campus,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,RO-CONSORTIA,"3,375,875.00"
"Increasing Income by Development of Processed meat Products of PACOWA Meat Processors in Catarman, Camiguin",2020,PACOWA MEAT PROCESSORS (Panghiawan-Compol Women's Association),Food Processing,On-going,Region X,PSTC-CAMIGUIN,"229,322.00"
"Innovation of Coconut Processing of Tupsan Pequeño Multi-Purpose Cooperative in Tupsan Pequeño, Mahinog, Camiguin thru Various Science and Technology Interventions",2019,"LGU-Mahinog, Camiguin",Food Processing,On-going,Region X,PSTC-CAMIGUIN,"122,909.00"
"Innovation on Mat Weaving: A Project Kasaligan for the Women at Talakag, Bukidnon",2017,LGU-Talakag,Other Regional Industry Priorities,Terminated,Region X,PSTC-BUKIDNON,"38,100.00"
Institutional Support for the Packaging Technology Resource Center for Western Visayas,2014,Central Philippine University,Other Regional Industry Priorities,Completed,Region VI,PSTC-ILOILO,"550,000.00"
Institutional Support for the Small Enterprise and Entrepreneurial Development Services - Technology Business Incubator (SEEDS-TBI),2015,University of the Philippines Visayas,ICT,On-going,Region VI,PSTC-ILOILO,"409,000.00"
Integrated Squash Based Food processing - Mechanization and Standardization,2013,LGU-Baungon,Other Regional Industry Priorities,On-going,Region X,PSTC-BUKIDNON,"448,502.00"
Intensifying the Research and Development Activities and Other Services of the Food Innovation Center (FIC),2019,Guimaras State College (GSC),Food Processing,On-going,Region VI,PSTC-GUIMARAS,"1,551,706.00"
Introduction of ISS and Management Strategies to Dulag Farmers' Vegetable Production,2017,Rawis Farm Animal Developers and Planters Association (RAFADAPA),Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region VIII,PSTC-LEYTE,"1,062,200.00"
Leveling- Up of S&T Services for Food Safety Program in Eastern Visayas,2019,ESSU - Salcedo Campus,Food Processing,On-going,Region VIII,RO-GIA,"300,000.00"
"Mangrove Growing: A CEST Support Project in Environmental Protection and Coastal Conservation in Binuangan, Misamis Oriental-D1",2019,Local Government Unit of Binuangan,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"211,000.00"
"Meat Processing: A Sustainable Livelihood Support to Women Group-A Marginalized Sector of Binuangan, Misamis Oriental-D1",2019,"LGU-Binuangan, Misamis Oriental",Food Processing,On-going,Region X,PSTC-MISAMIS ORIENTAL,"229,000.00"
Methane Gas and Organic Fertilizer Recovery as Wastewater Improvement Strategy in the City Slaughterhouse Facility,2021,Local Government Unit - Cagayan de Oro,Other Regional Industry Priorities,On-going,Region X,RO-CONSORTIA,"6,773,808.00"
Micro-Hydro Power Plant,1999,LGU-Bukidnon,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-BUKIDNON,0
Monitoring and Evaluation of DOST-8 Regional Operations to Strengthen its Capabilities and Performance,2010,ViFARD,Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region VIII,RO-GIA,"413,350.00"
MSMEs Improved Services and Operations for Competitiveness of Communities thru Food Innovation Convergence (MISOCC-FIC),2020,Northwestern Mindanao State College of Science and Technology (NMSCST),Food Processing,On-going,Region X,PSTC-MISAMIS OCCIDENTAL,"1,900,000.00"
Negros Occidental Metals & Engineering Innovation Center (Phase I),2015,LGU-San Carlos City,Metals & Engineering,Completed,Region VI,PSTC-NEGROS OCCIDENTAL,"1,000,000.00"
"Nutr-I: S&T Intervention through Nutribun and Iron-Fortified Rice for the Improvement of Health and Nutrition Status of the Cauyonan Community in Opol, Misamis Oriental - D2",2020,"70 malnourished and stunted 24-59 months old children; 9 pregnant, and 17 lactating mothers",Other Regional Industry Priorities,On-going,Region X,PSTC-MISAMIS ORIENTAL,"595,007.00"
Operationalization of Food Safety Teams in Eastern Visayas,2012,VSU - Baybay,Other Regional Industry Priorities,Completed,Region VIII,RO-GIA,"165,200.00"
Operationalization of oneStore(Ecommerce Platform for MSMEs),2016,DOST2,Other Regional Industry Priorities,Completed,Region VIII,RO-GIA,"150,000.00"
Operationalizing the technology business Incubator (TBI) for Information Technology-Business Process Management (IT-BPM) Start-up Companies,2019,Ebiz Solution & Supplies,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region VIII,RO-GIA,"200,000.00"
Process Improvement of Native BAriw Products,2011,Local Government Unit of Nabas,Gifts / Decors / Handicrafts,Completed,Region VI,PSTC-AKLAN,"302,230.00"
Product and Process Improvement of Aurora Blend Coffee,2010,Aurora State College of Technology,Food Processing,Completed,Region III,RO-GIA,"230,000.00"
Product and Process Improvement of Water Hyacinth Based Handcrafts Project for the Women Members of Kabuhayan ng mga Kabarangay Tungo Sa Tagumpay (KKT),2017,Kabuhayan ng mga Kabarangay Tungo Sa Tagumpay (KKT),Gifts / Decors / Handicrafts,Completed,Region III,PSTC-PAMPANGA,"551,000.00"
"Product and Process Improvement with Package Development for Puto Seco, Mammon Tostado and Mamon Sopas",2017,"LGU-Bacolor, Pampanga",Food Processing,Completed,Region III,PSTC-PAMPANGA,"430,263.00"
Product Development (Label and Package Design Enhancement),2010,LGU-Valencia City,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-BUKIDNON,0
"Product Development and Technology Intervention for Cacao, Coffee, and other Staple-Based Crops in Gingoog City - D1",2019,Rural Improvement Club (RIS),Food Processing,New,Region X,PSTC-MISAMIS ORIENTAL,"1,908,670.00"
"Product Development through Cacao Processing by Application of Science and Technology Intervention of Mahinog Cacao Producers Group in Mahinog, Camiguin",2018,"LGU-Mahinog, Camiguin",Food Processing,On-going,Region X,PSTC-CAMIGUIN,"479,570.00"
"Production of Charcoal Briquettes from Waste Products to Provide Livelihood To Malaybalay City Federation of Local Councils of Women, Incorporated (MCFLCW) and Improve its Living Condition thru Various S & T Interventions in Can-ayan, Malaybalay City",2020,LGU-Malaybalay City,Agriculture / Marine / Aquaculture / Forestry / Livestock,New,Region X,PSTC-BUKIDNON,"1,408,000.00"
Production of Engineered Bamboo,2015,"San Fernando Crafts Makers Association, Incorporated",Gifts / Decors / Handicrafts,Withdrawn,Region X,PSTC-BUKIDNON,"1,082,000.00"
Production of Interlocking Compressed Earth Block,2013,LGU-Bukidnon,Other Regional Industry Priorities,On-going,Region X,PSTC-BUKIDNON,"656,626.00"
Production of Spirulina Biomass: Refinement of Grow-out Production Technology and Piloting in Northern Mindanao,2019,GreenPastures Corporation,Health & Wellness Products,On-going,Region X,RO-CONSORTIA,"2,983,805.00"
Productivity Enhancement of Squash Canton Noodles Production Facilities and Other Squash-based Product,2016,"Municipality of Barbaza, Antique",Food Processing,On-going,Region VI,PSTC-ANTIQUE,"396,850.00"
"Productivity Improvement of Tablea Production thru Provision of Various Equipment and Other Related S&T Interventions of Catarman Cacao Growers Association in Catarman, Camiguin",2021,Catarman Cacao Growers Association,Food Processing,On-going,Region X,PSTC-CAMIGUIN,"579,400.00"
"PROJECT AQWAH: Advancement on the Quality of Water Available for Household use thru the provision of Cermaic Water Filter in in Sitio Langahan, Sampagar, Damulog and Old Damulog National High School in Damulog, Bukidnon, Philippines – D3",2021,LGU-Damulog,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-BUKIDNON,"657,300.00"
"Promoting S&T Culture and Disaster Resilience Through the Provision of Solar-Powered S&T Information Kiosk and Lights in the Evacuation Site in Sagay, Camiguin",2021,"LGU SAGAY, CAMIGUIN, Municipal Disaster Risk Reduction Office - LGU Sagay, Camiguin",Other Regional Industry Priorities,On-going,Region X,PSTC-CAMIGUIN,"1,070,100.00"
"Provision of Ceramic Water Filters to Upper Sitios of Brgy. Kibangay – a GIDA community in Lantapan, Bukidnon D2",2020,LGU Lantapan,Health & Wellness Products,New,Region X,PSTC-BUKIDNON,"113,600.00"
"Provision of Environment Protection and Conservation Equipment in Salay, Misamis Oriental - D1",2019,Local Government Unit of Salay,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"238,000.00"
"Provision of Technology Innovation to Subanen Abaca Farmers in GIDA and ELCAC Communities of Sinacaban, Misamis Occidental-D2",2021,"San Lorenzo Ruiz Subanen Farmers Organization, Inc. (SALORUSFAO)",Gifts / Decors / Handicrafts,On-going,Region X,PSTC-MISAMIS OCCIDENTAL,"354,600.00"
Quality Assurance of Lambanog and Nipanog for Consumer Safety and Sustainable Industry,2017,"Nipanog producers of Panukulan, Nipanog producers of Polillo, Lambanog producers of Tayabas, Nipanog producers of Infanta, Nipanog producers of Mauban, Nipanog producers of Burdeos",Food Processing,Completed,Region IV-A,RO-Project Coordinators,"505,998.00"
